exp,from,to,by
6,myfitnesspal,forbes,tapad
6,myfitnesspal,cnn,adform
6,myfitnesspal,theguardian,openx
6,myfitnesspal,cnn,contextweb
6,myfitnesspal,nytimes,yahoo
6,myfitnesspal,cnn,owneriq
6,myfitnesspal,theguardian,bidswitch
6,myfitnesspal,washingtonpost,scorecardresearch
6,myfitnesspal,forbes,advertising
6,myfitnesspal,washingtonpost,adnxs
6,myfitnesspal,theguardian,yahoo
6,myfitnesspal,nytimes,sharethrough
6,myfitnesspal,theguardian,amazon-adsystem
6,myfitnesspal,forbes,taboola
6,myfitnesspal,cnn,facebook
6,myfitnesspal,forbes,adnxs
6,myfitnesspal,colledgeboard,facebook
6,myfitnesspal,forbes,mookie1
6,myfitnesspal,forbes,bluekai
6,myfitnesspal,forbes,amazon-adsystem
6,mayoclinic,edx,bing
6,mayoclinic,cnn,mathtag
6,mayoclinic,forbes,bing
6,mayoclinic,forbes,scorecardresearch
6,mayoclinic,cnn,rubiconproject
6,mayoclinic,washingtonpost,rubiconproject
6,mayoclinic,nytimes,mathtag
6,mayoclinic,harvard,nr-data
6,mayoclinic,forbes,doubleclick
6,mayoclinic,harvard,doubleclick
6,mayoclinic,nytimes,doubleclick
6,mayoclinic,edx,nr-data
6,mayoclinic,washingtonpost,scorecardresearch
6,mayoclinic,cnn,bing
6,mayoclinic,cnn,scorecardresearch
6,mayoclinic,colledgeboard,bing
6,mayoclinic,theguardian,scorecardresearch
6,mayoclinic,theguardian,doubleclick
6,mayoclinic,cnn,nr-data
6,mayoclinic,forbes,mathtag
6,mayoclinic,cnn,doubleclick
6,mayoclinic,colledgeboard,nr-data
6,mayoclinic,washingtonpost,nr-data
6,mayoclinic,mit,doubleclick
6,mayoclinic,colledgeboard,doubleclick
6,mayoclinic,jhu,doubleclick
6,mayoclinic,nytimes,scorecardresearch
6,mayoclinic,nytimes,bing
6,mayoclinic,edx,doubleclick
6,mayoclinic,washingtonpost,doubleclick
6,mayoclinic,theguardian,bing
6,mayoclinic,theguardian,mathtag
6,edx,forbes,linkedin
6,colledgeboard,cnn,everesttech
6,colledgeboard,nytimes,everesttech
6,colledgeboard,cnn,demdex
6,colledgeboard,theguardian,everesttech
6,colledgeboard,forbes,everesttech
