exp,from,to,by
5,forbes,myfitnesspal,turn.com
5,forbes,myfitnesspal,smartadserver
5,forbes,colledgeboard,facebook
5,forbes,webmd,yieldmo
5,forbes,webmd,krxd
5,forbes,verywellhealth,rubiconproject
5,forbes,webmd,1rx
5,forbes,medscape,media.net
5,forbes,myfitnesspal,bidr
5,colledgeboard,myfitnesspal,advertising
5,colledgeboard,medscape,doubleclick
5,colledgeboard,medscape,facebook
5,colledgeboard,mayoclinic,doubleclick
5,colledgeboard,medscape,demdex
5,colledgeboard,webmd,advertising
5,colledgeboard,verywellhealth,doubleclick
5,colledgeboard,webmd,yahoo
5,colledgeboard,mayoclinic,nr-data
5,colledgeboard,webmd,everesttech
5,colledgeboard,webmd,demdex
5,colledgeboard,mayoclinic,bing
5,colledgeboard,webmd,facebook
5,colledgeboard,webmd,doubleclick
5,colledgeboard,myfitnesspal,doubleclick
5,colledgeboard,webmd,atdmt
5,colledgeboard,myfitnesspal,demdex
5,colledgeboard,myfitnesspal,facebook
5,colledgeboard,medscape,nr-data
5,colledgeboard,myfitnesspal,yahoo
5,mit,medscape,doubleclick
5,mit,mayoclinic,doubleclick
5,mit,verywellhealth,doubleclick
5,mit,webmd,doubleclick
5,mit,myfitnesspal,doubleclick
5,edx,medscape,doubleclick
5,edx,mayoclinic,doubleclick
5,edx,verywellhealth,doubleclick
5,edx,mayoclinic,nr-data
5,edx,mayoclinic,bing
5,edx,webmd,doubleclick
5,edx,myfitnesspal,doubleclick
5,edx,webmd,adsymptotic
5,edx,medscape,nr-data
5,harvard,medscape,doubleclick
5,harvard,mayoclinic,doubleclick
5,harvard,verywellhealth,doubleclick
5,harvard,mayoclinic,nr-data
5,harvard,webmd,doubleclick
5,harvard,myfitnesspal,doubleclick
5,harvard,medscape,nr-data
5,jhu,medscape,doubleclick
5,jhu,mayoclinic,doubleclick
5,jhu,verywellhealth,doubleclick
5,jhu,webmd,twitter
5,jhu,webmd,doubleclick
5,jhu,myfitnesspal,doubleclick
5,cnn,verywellhealth,rubiconproject
5,cnn,myfitnesspal,rubiconproject
5,nytimes,verywellhealth,rubiconproject
5,nytimes,myfitnesspal,rubiconproject
